27/04/2020 09:36:06,Bahrain,2647,,8 ,,1189,1450,2,1556,5,114110,67061
27/04/2020 09:36:06,Hungary,2583,+83,280 ,+8,498,1805,61,267,29,65625,6793
27/04/2020 09:36:06,Greece,2517,,134 ,,577,1806,46,241,13,64608,6199
27/04/2020 09:36:06,Oman,2049,+51,10 ,,364,1675,3,401,2,,
27/04/2020 09:36:06,Croatia,2039,+9,59 ,+4,1166,814,21,497,14,32817,7994
27/04/2020 09:36:06,Uzbekistan,1887,+18,8 ,,880,999,8,56,0.2,242536,7247
27/04/2020 09:36:06,Iraq,1820,,87 ,,1263,470,,45,2,71471,1777
27/04/2020 09:36:06,Armenia,1808,+62,29 ,+1,848,931,10,610,10,18547,6259
27/04/2020 09:36:06,Iceland,1792,,10 ,,1608,174,3,5251,29,46352,135833
27/04/2020 09:36:06,Afghanistan,1703,+172,57 ,+7,220,1426,7,44,1,8694,223
27/04/2020 09:36:06,Azerbaijan,1678,+33,22 ,+1,1162,494,15,165,2,128807,12704
27/04/2020 09:36:06,Estonia,1647,+4,50 ,+1,233,1364,7,1242,38,48406,36491
27/04/2020 09:36:06,Cameroon,1621,,56 ,,786,779,12,61,2,,
27/04/2020 09:36:06,Bosnia and Herzegovina,1565,+49,60 ,+1,659,846,4,477,18,26822,8175
27/04/2020 09:36:06,Ghana,1550,,11 ,,155,1384,4,50,0.4,100622,3238
27/04/2020 09:36:06,New Zealand,1469,,19 ,+1,1180,270,1,305,4,123920,25698
27/04/2020 09:36:06,Lithuania,1449,+11,41 ,,474,934,17,532,15,106775,39223
27/04/2020 09:36:06,Slovenia,1402,+6,83 ,+1,221,1098,22,674,40,49607,23862
27/04/2020 09:36:06,North Macedonia,1399,+13,65 ,+4,553,781,13,672,31,15120,7257
27/04/2020 09:36:06,Slovakia,1381,+2,18 ,,403,960,7,253,3,74099,13572
27/04/2020 09:36:06,Cuba,1369,,54 ,,501,814,12,121,5,39828,3516
27/04/2020 09:36:06,Bulgaria,1348,+48,56 ,,206,1086,41,194,8,27000,3886
27/04/2020 09:36:06,Nigeria,1273,,40 ,,239,994,2,6,0.2,10918,53
27/04/2020 09:36:06,Ivory Coast,1150,,14 ,,468,668,,44,0.5,,
27/04/2020 09:36:06,Hong Kong,1038,,4 ,,787,247,4,138,0.5,145640,19426
27/04/2020 09:36:06,Djibouti,1023,,2 ,,411,610,,1035,2,11741,11884
27/04/2020 09:36:06,Guinea,996,,7 ,,208,781,,76,0.5,,
27/04/2020 09:36:06,Bolivia,950,+84,50 ,+4,80,820,3,81,4,5791,496
27/04/2020 09:36:06,Tunisia,949,,38 ,,216,695,20,80,3,20818,1761
27/04/2020 09:36:06,Latvia,818,+6,13 ,+1,267,538,5,434,7,49235,26103
27/04/2020 09:36:06,Cyprus,817,,14 ,,148,655,15,677,12,43542,36064
27/04/2020 09:36:06,Andorra,738,,40 ,,344,354,17,9552,518,1673,21653
27/04/2020 09:36:06,Senegal,736,+65,9 ,,284,443,1,44,0.5,466,28
27/04/2020 09:36:06,Albania,726,,28 ,,410,288,4,252,10,7279,2529
27/04/2020 09:36:06,Diamond Princess,712,,13 ,,645,54,4,,,,
27/04/2020 09:36:06,Lebanon,710,+3,24 ,,145,541,44,104,4,29367,4303
27/04/2020 09:36:06,Niger,696,,29 ,,350,317,,29,1,5013,207
27/04/2020 09:36:06,Kyrgyzstan,695,+13,8 ,,395,292,13,107,1,45627,6994
27/04/2020 09:36:06,Costa Rica,695,,6 ,,264,425,8,136,1,12467,2447
27/04/2020 09:36:06,Honduras,661,+34,61 ,+2,79,521,10,67,6,3643,368
27/04/2020 09:36:06,Burkina Faso,632,,42 ,,453,137,,30,2,,
27/04/2020 09:36:06,Uruguay,606,+10,15 ,+1,375,216,10,174,4,17063,4912
